UNITNO,EASTING,NORTHING
45-18-003487,442610,550094
42-07-000737,425634,554237
42-07-000738,425665,554242
46-00-000741,404960,516762
46-00-000742,404989,516735
46-00-000743,405013,516706
45-12-008732,442782,540816
45-12-008733,442767,540847
47-10-004258,428506,526565
47-10-004259,428508,526592
47-10-004260,428488,526610
47-10-004261,428473,526630
47-10-004262,428476,526662
47-10-004263,428461,526658
47-10-004264,428443,526673
47-10-004265,428475,526686
47-10-004266,428501,526699
47-10-004267,428504,526723
47-10-004268,428494,526743
47-10-004269,428480,526768
47-10-004270,428477,526740
47-10-004271,428455,526729
47-10-004272,428430,526720
47-10-004273,428517,526719
47-10-004274,428540,526730
47-10-004275,428546,526758
47-10-004276,428533,526775
47-10-004277,428517,526695
44-00-000271,427052,541767
44-04-001736,423106,542275
44-04-001737,423105,542315
44-04-001738,423079,542341
44-04-001739,423055,542345
44-04-001740,423025,542349
44-04-001741,422991,542319
44-04-001742,423013,542307
44-04-001743,423009,542372
44-04-001744,422992,542392
44-04-001745,423003,542413
44-04-001746,423000,542438
44-04-001747,422969,542449
44-04-001748,422949,542471
44-04-001749,422917,542480
44-04-001750,422905,542498
44-04-001751,422873,542502
44-04-001753,423043,542374
44-04-001754,423051,542411
44-04-001755,422977,542390
44-04-001756,422948,542412
44-04-001757,422921,542434
44-04-001758,423079,542391
44-04-001700,423141,542422
44-04-001701,423125,542394
44-04-001702,423110,542374
44-04-001703,423090,542343
44-04-001704,423073,542314
44-04-001705,423055,542287
42-07-000815,425464,554248
42-07-000816,425439,554278
42-07-000817,425414,554302
42-07-000818,425388,554326
45-22-000038,437686,545408
45-05-000882,440574,547058
45-05-000883,440545,547052
45-05-000884,440518,547045
45-05-000885,440493,547028
45-05-000886,440474,547027
45-05-000887,440464,547015
45-05-000888,440499,547009
45-05-000889,440517,546998
45-05-000890,440528,546982
45-05-000891,440536,546997
45-05-000892,440549,546987
45-05-000893,440554,547018
45-05-000894,440549,547038
45-05-000895,440575,547038
45-05-000896,440612,547047
45-05-000897,440503,547020
47-10-006231,426692,526116
47-10-006233,426738,526165
47-10-006234,426749,526179
47-10-006235,426763,526163
47-10-006236,426775,526148
47-10-006237,426803,526139
47-10-006238,426818,526132
47-10-006239,426772,526191
47-10-006240,426761,526207
47-10-006241,426753,526230
47-10-006242,426720,526230
47-10-006243,426703,526214
47-10-006244,426717,526196
44-07-004518,426990,545218
44-07-004519,426965,545229
44-07-004520,427027,545311
44-07-004521,427003,545332
44-07-004522,426990,545331
44-07-004523,426997,545312
44-07-004524,426981,545298
44-07-004525,426970,545266
44-07-004526,426949,545245
44-07-004527,426942,545218
44-07-004528,426935,545188
44-07-004511,427042,545300
44-07-004529,426922,545192
47-08-000338,429922,532041
43-03-003619,422861,528622
43-03-003618,422847,528648
43-03-003620,422860,528607
43-03-003621,422876,528623
47-04-000263,428355,529703
47-08-000816,429784,532679
47-08-000817,429771,532713
47-08-000818,429767,532693
47-08-000819,429724,532663
47-08-000820,429712,532692
43-05-001144,416537,533689
43-05-001145,416524,533707
47-15-000411,436798,533860
47-15-000409,436709,533815
45-18-000078,442940,548703
42-08-000170,424394,552912
42-08-000169,424517,552955
45-18-000079,443083,548466
44-20-000383,426627,537880
44-20-000384,426630,537897
44-20-000385,426633,537912
44-20-000386,426642,537934
44-20-000387,426636,537974
44-20-000400,426606,537898
44-20-000388,426637,537996
44-20-000389,426632,538054
44-20-000390,426628,538031
44-20-000391,426618,538005
44-20-000392,426604,537980
44-20-000393,426595,537966
44-20-000394,426578,537956
44-20-000395,426561,537952
44-20-000397,426579,537935
44-20-000398,426595,537932
44-20-000399,426606,537921
42-08-000577,425199,553195
44-02-002469,430412,544241
47-19-000665,423125,525864
43-05-001173,420631,534877
43-05-001178,420652,534896
43-01-000007,402983,536917
42-00-000395,426494,551181
2518,430342,543948
44-02-002518,430340,543948
44-13-000850,431500,542335
45-10-001016,445777,539644
44-04-002912,424383,540465
44-04-003530,423010,539473
44-04-003367,423808,539612
44-04-002654,424327,539720
44-16-000533,426548,536803
44-04-000444,423634,539615
44-01-000416,423217,543523
44-01-000123,423186,543377
44-01-000236,423491,543375
44-04-001187,423531,542621
44-04-000152,423945,542060
44-04-001632,422749,542893
44-04-001238,424009,542153
44-04-001227,423882,542170
44-04-001834,419282,541697
44-04-001850,419171,541642
44-04-001910,418865,541534
44-04-001434,423501,542772
44-04-000271,419696,542165
44-04-001863,418393,542072
44-06-001016,431762,536216
44-17-000063,431670,546388
44-02-000145,430788,544407
44-02-000160,430487,543895
44-13-000446,432092,542472
44-04-001752,422843,542519
44-00-000954,426412,543602
44-09-000624,433984,536369
44-00-002789,426558,541509
44-00-001322,427929,542490
44-04-004541,422598,541775
44-00-000551,427426,542470
44-20-000054,426625,537674
44-00-001937,427722,541983
44-07-004256,427553,545947
44-07-004252,427622,545877
44-07-004272,427457,545913
44-04-001143,424275,541791
44-00-003021,427582,542428
44-00-001762,427251,542618
44-07-004216,427509,545687
43-05-001179,419972,535066
45-18-002233,441047,549765
44-10-001280,428717,543316
44-00-000210,427309,541157
44-00-000222,426948,540663
44-00-000235,426634,540336
44-00-002096,426216,542118
44-04-004735,424831,540281
44-07-002866,426305,544989
44-00-002416,426491,541340
44-00-002145,426254,542525
44-07-004323,427548,545799
44-06-001655,431973,535242
44-00-003000,427221,542462
44-04-000026,425328,540607
44-20-000220,426053,543082
44-20-000263,425999,544110
44-20-000291,426172,545080
44-00-001863,427925,541898
44-02-000364,429981,542548
44-06-001073,431709,535820
44-04-004669,418873,542112
44-10-001046,429574,542282
44-01-000446,423340,543559
44-04-004710,418494,541567
44-02-000119,431016,544830
44-12-000446,434975,540984
44-06-001934,433614,537617
44-06-001941,433537,537855
44-05-001651,431358,537570
44-04-002507,425636,541124
44-04-000734,424259,540963
44-04-000767,423140,541529
44-04-000779,422659,541653
44-06-000368,434244,537086
44-20-000056,426613,537738
44-20-000374,426559,546138
44-19-000044,423058,545588
44-04-004804,417990,540718
44-07-000483,427235,545811
44-07-004111,426755,545741
44-05-000417,432005,540966
44-04-003254,423773,539858
47-21-000417,427501,536011
45-16-000099,436296,539453
45-08-000444,444242,541147
45-02-001178,442986,543713
45-09-000196,441221,535922
45-20-000016,437736,538357
45-18-003573,442298,550220
45-18-003723,442397,550166
45-18-003837,442284,549960
45-18-003700,442073,549955
45-18-003692,442175,550074
45-18-003171,443365,548336
45-08-000734,444876,540553
45-10-000226,446604,538582
45-17-000215,440202,537655
45-17-000138,439863,538147
45-09-000014,440681,536280
45-01-000164,442379,537555
45-10-000764,445715,539269
45-10-000810,445600,539183
45-17-008009,440261,538224
45-18-001200,440622,549888
45-18-001235,440515,550215
45-18-003684,441958,550265
45-18-001964,442441,550565
45-18-002415,442754,550043
45-18-001678,442922,549151
45-18-001703,442801,549191
45-18-001330,442798,549433
45-18-000405,441554,549683
45-18-000519,441509,550224
45-18-000591,441559,549962
45-18-000110,442701,548530
45-18-000092,442760,548393
45-18-000936,441455,549479
45-18-002111,441523,549323
45-18-000982,440795,549072
45-18-002453,440766,549785
45-18-002470,440682,550189
45-05-000050,438929,547047
45-05-000094,439655,547344
45-05-000107,439064,547337
45-05-000744,439297,547157
45-22-001159,437470,545686
45-22-000084,437601,545566
45-22-000089,437775,545568
45-02-000909,443264,543820
45-07-000128,441566,545334
45-16-008680,436118,539743
45-05-005546,439158,547003
45-08-000981,444276,541483
45-08-000219,444009,541112
45-08-000402,443580,542105
45-08-000227,444073,541181
45-12-003565,442438,540321
45-12-002124,442880,541471
45-12-000344,443327,541126
45-12-001952,443163,540854
45-12-001361,442158,541431
45-12-001301,441709,541304
45-12-001372,442294,541320
45-12-008348,442944,540450
45-12-004200,442460,539194
45-15-000202,439564,541061
45-15-000550,439744,540826
45-15-000128,439829,540783
45-02-000415,441828,543357
45-02-000370,441627,543610
45-02-000381,441600,543585
45-12-001525,441831,541560
45-12-002181,442663,541386
45-12-000333,442734,541780
45-12-000740,442190,541811
45-08-000063,444416,540786
45-12-000424,443050,540021
45-12-008381,442229,539823
45-05-000979,438851,547284
45-20-000266,438183,539394
45-19-000139,438422,536345
45-20-000540,437822,539088
45-17-000303,439890,537091
45-17-000307,439793,537136
45-22-001110,438760,544837
45-10-000369,446177,539104
45-12-000405,442941,540300
45-03-000218,441327,548717
45-15-008599,440856,539995
45-19-000019,438019,536601
45-18-000253,442032,547956
45-18-000276,442448,548309
45-20-000558,437494,538783
45-15-000284,439320,540882
45-15-006033,441253,541997
45-12-008133,442751,540743
45-18-002311,442901,547364
45-18-002315,443459,547650
45-15-006128,440514,541434
45-16-008638,436313,539842
45-22-000416,438587,544779
45-17-000025,439671,537269
45-08-000275,444085,541404
45-10-000896,445459,539355
45-15-000797,440979,541079
45-18-002342,443488,548238
45-18-003338,443244,548998
47-20-000342,425771,533596
47-21-000018,428371,521177
47-05-000019,430807,534165
47-18-000373,425227,525437
47-20-003538,427653,534968
47-19-000264,422566,525746
47-20-003297,425054,534052
47-20-003278,425127,534093
47-13-001099,435394,529871
47-15-000003,436593,533618
47-15-000009,436560,533871
47-15-000368,437084,533804
47-15-000088,437041,535804
47-15-000444,437054,533420
47-13-000554,435747,529374
47-13-000228,435155,528288
47-13-000215,435056,528331
47-13-000669,435736,529221
47-10-005008,428159,523424
47-10-005239,428184,523961
47-10-005402,427883,522835
47-10-000088,425659,523785
47-10-001397,425982,525125
47-10-004049,426976,524773
47-10-002598,427550,525794
47-10-001380,426214,525421
47-10-004032,428447,524531
47-10-002022,427256,525297
47-10-006065,427764,524409
47-10-001861,426273,525789
47-10-002220,428711,525126
47-10-002690,427672,526128
47-10-001185,426694,524622
47-10-002178,428345,524888
47-10-000330,427254,524915
47-10-001469,426018,525076
47-10-002404,428417,525660
47-10-002660,427558,526161
47-10-001945,427563,525435
47-10-006979,426581,524809
47-10-006992,426502,524767
47-10-002494,428111,525540
47-10-002936,428072,526915
47-19-000548,423321,526193
47-19-000612,422853,526105
47-19-000830,422307,526857
47-19-000594,422894,526497
47-04-000259,428529,529849
47-04-000548,429234,529791
47-04-000577,428942,529896
47-20-002110,426269,531189
47-20-003016,424885,532898
47-20-001963,424696,532593
47-20-002057,424364,532433
47-20-002164,422737,532723
47-20-000161,426134,534891
47-20-001330,426119,534917
47-20-001328,426088,534961
47-20-002328,425204,535014
47-20-001925,425010,533046
47-20-003775,426445,533611
47-20-002376,425682,533747
47-20-001670,425456,534736
47-20-002026,424576,532390
47-08-000974,430399,531145
47-05-000283,431695,533894
47-05-000452,431105,534135
47-08-000041,429792,534922
47-20-002481,426254,533929
47-08-001582,429700,532445
47-08-000423,428668,532691
47-08-000618,430190,532132
47-08-000470,428959,532359
47-08-000666,429129,532788
47-08-000875,429760,532400
47-08-000792,429676,532624
47-10-005462,427729,523990
47-10-001180,426814,524473
47-10-001373,426216,525405
47-10-000052,425948,523708
47-10-006036,425653,523883
47-19-000988,423737,525790
47-20-001108,426379,533785
47-20-000425,424273,532565
47-08-001313,429362,532297
47-04-000812,428661,529855
47-10-000062,425817,523946
47-19-000082,422289,526711
47-19-001049,423762,525854
47-10-001629,426824,525360
47-20-000417,424512,532799
47-08-000400,428229,532495
47-20-002389,426335,532469
47-20-002370,425321,535000
47-08-000178,429212,532970
47-20-003763,427186,534999
47-20-001367,425772,534542
47-08-000220,428657,532749
47-20-000799,426986,534177
47-08-001386,428804,532832
47-08-000410,428072,532397
47-19-000545,423335,526135
47-19-000205,422908,526595
47-10-006184,427292,526869
47-08-001536,429561,533972
47-20-001143,426424,533864
47-10-004130,426469,525640
47-13-000051,435572,530041
47-10-000446,426661,524422
47-10-000504,426387,525833
47-10-000270,428115,523661
47-10-000276,427975,523751
43-03-005201,425332,529246
47-20-003931,424637,533217
47-20-003942,424594,533263
47-04-000636,428564,529501
47-10-003477,426715,526037
47-19-000019,423237,525468
47-21-000286,428671,531138
47-21-000691,428235,530073
46-35-000123,404683,516486
46-00-000734,405116,517391
46-00-000616,405906,516925
46-00-000118,405303,516718
46-00-000119,405330,516725
46-00-000060,404846,516360
46-12-000083,417504,516916
46-20-000001,416910,520765
46-10-000189,415238,525491
46-34-000053,412421,520406
46-20-000033,417059,520543
46-10-000304,415451,525214
46-06-000233,412382,524402
46-06-000076,412639,524352
46-00-000761,405717,516115
46-31-000005,408425,513372
46-07-000010,401288,519412
46-08-000045,399928,523757
46-27-000094,395259,525380
46-41-000023,406436,526160
46-24-000153,411007,525637
46-09-000192,416692,529270
46-41-000029,406706,526217
46-09-000055,416606,527307
46-10-000080,415673,525003
46-35-000176,404641,516294
46-10-000407,415690,524921
46-00-000189,405232,516531
46-10-000053,415310,525546
46-10-000060,415254,525768
46-00-000515,405038,516354
46-00-000052,404991,516173
46-35-000140,404823,515742
46-34-000002,413179,520745
46-34-000172,411940,520380
46-26-000033,396435,523766
46-14-000047,411031,530988
46-00-000671,405171,516146
43-03-005173,424407,529201
43-03-005186,424966,529202
43-03-005188,425058,529186
43-05-000221,413281,535484
43-03-005009,420710,527608
43-03-000789,422503,527901
43-03-004947,422815,527802
43-07-000182,408117,537257
43-07-000218,407479,537069
43-05-003038,414049,538711
43-05-005514,414779,531254
43-05-002874,415667,537112
43-05-002435,415794,535900
43-05-002505,416046,535695
43-05-003504,416513,534875
43-05-003193,416436,535277
43-05-002192,415859,534717
43-05-002210,416358,535063
43-05-002270,415759,535057
43-03-001909,418497,526803
43-03-002054,417531,526050
43-03-015639,420322,528117
43-03-000623,419163,528962
43-03-001620,419831,528004
43-03-003375,421003,528225
43-03-000292,420817,528442
43-03-004751,419459,528095
43-03-003357,421061,528284
43-03-001205,421206,528891
43-03-003476,421261,528889
43-03-001231,421006,528729
43-03-004394,421340,529965
43-03-001002,420840,529580
43-03-004148,420175,528899
43-03-003391,420978,528145
43-03-003466,420945,528071
43-03-005444,420920,528034
43-03-000538,422123,527849
43-03-003056,421844,528264
